S/N,Member ID,Group ID,Church ID,PCF ID,Cell ID,Department ID,First Name,Middle Name,Last Name,Gender,Mobile 1,Mobile 2,Email,Profession,Address,Location,Entry Date,Weather Condition,Service Date,Service Day,Service Type,Service Time,Public Holiday,SMS Notification,Email Notification,SMS Reminder,Email Reminder,Free Transportation,External Speaker,Church Venue,Outreach Program,Love Feast,Attendance
234,M014,G014,CH014,PCF014,C014,D014,Toke,Nicole,Makinwa,Female,8176669827,9176669827,tokeni@yahoo.com,Civil Engineer,"10 Benson Lane, Minna",Ogun State,8/16/2021,2,7/21/2021,4,3,3,1,1,1,1,1,1,1,1,1,1,1
235,M015,G015,CH015,PCF015,C015,D015,Grace,Onyinye,Otuka,Female,8039883939,9039883939,graceon@yahoo.com,Mechanic,"2 Peaceville street, Ikoyi",Lagos State,8/17/2021,2,7/21/2021,4,3,3,1,1,1,1,1,1,1,1,1,1,0
236,M016,G016,CH016,PCF016,C016,D016,Chiduziem,Chris,Ejimofor,Male,8167869696,9167869696,chiduziemch@yahoo.com,Electrician,"40 Pilsan street, Shomolu",Lagos State,8/18/2021,2,7/21/2021,4,3,3,1,1,1,1,1,1,1,1,1,1,0
237,M017,G017,CH017,PCF017,C017,D017,Uzoma,Michael,Obasi,Male,8123458876,9123458876,uzomami@yahoo.com,Housekeeper,"12 Dunsin St., Victoria Island",Lagos State,8/19/2021,2,7/21/2021,4,3,3,1,1,1,1,1,1,1,1,1,1,0
238,M018,G018,CH018,PCF018,C018,D018,King,Daniel,Obaseki,Male,8067542288,9067542288,kingda@yahoo.com,Gardener,"23 Opebi, Maryland",Lagos State,8/20/2021,2,7/21/2021,4,3,3,1,1,1,1,1,1,1,1,1,1,0
239,M019,G019,CH019,PCF019,C019,D019,Aminu,Abubakar,Tambuwal,Male,8123242425,9123242425,aminuab@yahoo.com,Scientist,"10Musa street, Ajah",Lagos State,8/21/2021,2,7/21/2021,4,3,3,1,1,1,1,1,1,1,1,1,1,0
240,M020,G020,CH020,PCF020,C020,D020,Jesse,David,Omoko,Male,8189655437,9189655437,jesseda@yahoo.com,Statitiscian,"8 Benson Lane, Minna",Lagos State,8/22/2021,2,7/21/2021,4,3,3,1,1,1,1,1,1,1,1,1,1,0
241,M001,G001,CH001,PCF001,C001,D001,Omolara,Sandra,Adeniyi,Female,8089675432,9089675432,omolara@gmail.com,Teacher,"23 Peak Lane, Ikeja",Lagos State,8/3/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
242,M002,G002,CH002,PCF002,C002,D002,Olaide,Oluwanisola,Agbaje,Male,8178923892,9178923892,olaide@gmail.com,Nurse,"4 Peace estate, Gbagada",Lagos State,8/3/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
243,M003,G003,CH003,PCF003,C003,D003,Funmilayo,Makuachukwu,Onu,Female,8058666777,9058666777,funmimak@gmail.com,Pilot,"45 ladilak, Bariga", Ogun State,8/3/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
244,M004,G004,CH004,PCF004,C004,D004,Makinwa,Hope,Okonkwo,Female,8033980034,9033980034,makinwaoko@gmail.com,Doctor,"18 Dunsin St., Lekki",Lagos State,8/4/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
245,M005,G005,CH005,PCF005,C005,D005,Onome,Olaoluwa,Bode,Female,8090223344,9090223344,onome26@yahoo.com,Driver,"29 Opebi, Ikeja",Lagos State,8/6/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
246,M006,G006,CH006,PCF006,C006,D006,Bukola,Gbadamosi,Obadun,Male,8032675409,9032675409,bukolagb@yahoo.com,Bricklayer,"14 Musa street, Ikeja",Lagos State,8/8/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
247,M007,G007,CH007,PCF007,C007,D007,Isioma,Joy,Oti,Female,8089290654,9089290654,isiomajo@yahoo.com,Teacher,"10 Benson Lane, Ikeja",Lagos State,8/9/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
248,M008,G008,CH008,PCF008,C008,D008,Ifunanya,Grace,Onah,Female,8023880823,9023880823,ifunanyagr@yahoo.com,Accountant,"23 Peak Lane, Yaba",Lagos State,8/10/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
249,M009,G009,CH009,PCF009,C009,D009,Victory,Chinemerem,Njoku,Male,8023554488,9023554488,victorych@yahoo.com,Civil Engineer,"4 Peace estate, Ibafo",Lagos State,8/11/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
250,M010,G010,CH010,PCF010,C010,D010,Oshoriame,Christabel,Olumese,Female,8165790000,9165790000,oshoriamech@yahoo.com,Receptionist,"40 ladilak, Shomolu",Lagos State,8/12/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
251,M011,G011,CH011,PCF011,C011,D011,Osasenega,Samuel,Usoh,Male,8088223456,9088223456,osasenegasa@yahoo.com,Tailor,"18 Dunsin St., Victoria Island",Lagos State,8/13/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
252,M012,G012,CH012,PCF012,C012,D012,Favour,Nneka,Mbah,Female,8145766530,9145766530,favournn@yahoo.com,Banker,"29 Opebi, Maryland",Lagos State,8/14/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
253,M013,G013,CH013,PCF013,C013,D013,Charles,Pamilerin,Udeh,Male,8013908762,9013908762,charlespa@yahoo.com,Estate Surveyor,"14 Musa street, Ajah",Lagos State,8/15/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
254,M014,G014,CH014,PCF014,C014,D014,Toke,Nicole,Makinwa,Female,8176669827,9176669827,tokeni@yahoo.com,Civil Engineer,"10 Benson Lane, Minna",Ogun State,8/16/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
255,M015,G015,CH015,PCF015,C015,D015,Grace,Onyinye,Otuka,Female,8039883939,9039883939,graceon@yahoo.com,Mechanic,"2 Peaceville street, Ikoyi",Lagos State,8/17/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
256,M016,G016,CH016,PCF016,C016,D016,Chiduziem,Chris,Ejimofor,Male,8167869696,9167869696,chiduziemch@yahoo.com,Electrician,"40 Pilsan street, Shomolu",Lagos State,8/18/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
257,M017,G017,CH017,PCF017,C017,D017,Uzoma,Michael,Obasi,Male,8123458876,9123458876,uzomami@yahoo.com,Housekeeper,"12 Dunsin St., Victoria Island",Lagos State,8/19/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
258,M018,G018,CH018,PCF018,C018,D018,King,Daniel,Obaseki,Male,8067542288,9067542288,kingda@yahoo.com,Gardener,"23 Opebi, Maryland",Lagos State,8/20/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
259,M019,G019,CH019,PCF019,C019,D019,Aminu,Abubakar,Tambuwal,Male,8123242425,9123242425,aminuab@yahoo.com,Scientist,"10Musa street, Ajah",Lagos State,8/21/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
260,M020,G020,CH020,PCF020,C020,D020,Jesse,David,Omoko,Male,8189655437,9189655437,jesseda@yahoo.com,Statitiscian,"8 Benson Lane, Minna",Lagos State,8/22/2021,2,7/24/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
261,M001,G001,CH001,PCF001,C001,D001,Omolara,Sandra,Adeniyi,Female,8089675432,9089675432,omolara@gmail.com,Teacher,"23 Peak Lane, Ikeja",Lagos State,8/3/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,1
262,M002,G002,CH002,PCF002,C002,D002,Olaide,Oluwanisola,Agbaje,Male,8178923892,9178923892,olaide@gmail.com,Nurse,"4 Peace estate, Gbagada",Lagos State,8/3/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,1
263,M003,G003,CH003,PCF003,C003,D003,Funmilayo,Makuachukwu,Onu,Female,8058666777,9058666777,funmimak@gmail.com,Pilot,"45 ladilak, Bariga", Ogun State,8/3/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,1
264,M004,G004,CH004,PCF004,C004,D004,Makinwa,Hope,Okonkwo,Female,8033980034,9033980034,makinwaoko@gmail.com,Doctor,"18 Dunsin St., Lekki",Lagos State,8/4/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
265,M005,G005,CH005,PCF005,C005,D005,Onome,Olaoluwa,Bode,Female,8090223344,9090223344,onome26@yahoo.com,Driver,"29 Opebi, Ikeja",Lagos State,8/6/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
266,M006,G006,CH006,PCF006,C006,D006,Bukola,Gbadamosi,Obadun,Male,8032675409,9032675409,bukolagb@yahoo.com,Bricklayer,"14 Musa street, Ikeja",Lagos State,8/8/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
267,M007,G007,CH007,PCF007,C007,D007,Isioma,Joy,Oti,Female,8089290654,9089290654,isiomajo@yahoo.com,Teacher,"10 Benson Lane, Ikeja",Lagos State,8/9/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
268,M008,G008,CH008,PCF008,C008,D008,Ifunanya,Grace,Onah,Female,8023880823,9023880823,ifunanyagr@yahoo.com,Accountant,"23 Peak Lane, Yaba",Lagos State,8/10/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,1
269,M009,G009,CH009,PCF009,C009,D009,Victory,Chinemerem,Njoku,Male,8023554488,9023554488,victorych@yahoo.com,Civil Engineer,"4 Peace estate, Ibafo",Lagos State,8/11/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,1
270,M010,G010,CH010,PCF010,C010,D010,Oshoriame,Christabel,Olumese,Female,8165790000,9165790000,oshoriamech@yahoo.com,Receptionist,"40 ladilak, Shomolu",Lagos State,8/12/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
271,M011,G011,CH011,PCF011,C011,D011,Osasenega,Samuel,Usoh,Male,8088223456,9088223456,osasenegasa@yahoo.com,Tailor,"18 Dunsin St., Victoria Island",Lagos State,8/13/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
272,M012,G012,CH012,PCF012,C012,D012,Favour,Nneka,Mbah,Female,8145766530,9145766530,favournn@yahoo.com,Banker,"29 Opebi, Maryland",Lagos State,8/14/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
273,M013,G013,CH013,PCF013,C013,D013,Charles,Pamilerin,Udeh,Male,8013908762,9013908762,charlespa@yahoo.com,Estate Surveyor,"14 Musa street, Ajah",Lagos State,8/15/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
274,M014,G014,CH014,PCF014,C014,D014,Toke,Nicole,Makinwa,Female,8176669827,9176669827,tokeni@yahoo.com,Civil Engineer,"10 Benson Lane, Minna",Ogun State,8/16/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
275,M015,G015,CH015,PCF015,C015,D015,Grace,Onyinye,Otuka,Female,8039883939,9039883939,graceon@yahoo.com,Mechanic,"2 Peaceville street, Ikoyi",Lagos State,8/17/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
276,M016,G016,CH016,PCF016,C016,D016,Chiduziem,Chris,Ejimofor,Male,8167869696,9167869696,chiduziemch@yahoo.com,Electrician,"40 Pilsan street, Shomolu",Lagos State,8/18/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,1
277,M017,G017,CH017,PCF017,C017,D017,Uzoma,Michael,Obasi,Male,8123458876,9123458876,uzomami@yahoo.com,Housekeeper,"12 Dunsin St., Victoria Island",Lagos State,8/19/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
278,M018,G018,CH018,PCF018,C018,D018,King,Daniel,Obaseki,Male,8067542288,9067542288,kingda@yahoo.com,Gardener,"23 Opebi, Maryland",Lagos State,8/20/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
279,M019,G019,CH019,PCF019,C019,D019,Aminu,Abubakar,Tambuwal,Male,8123242425,9123242425,aminuab@yahoo.com,Scientist,"10Musa street, Ajah",Lagos State,8/21/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,0
280,M020,G020,CH020,PCF020,C020,D020,Jesse,David,Omoko,Male,8189655437,9189655437,jesseda@yahoo.com,Statitiscian,"8 Benson Lane, Minna",Lagos State,8/22/2021,1,7/25/2021,1,1,1,0,1,1,1,1,1,1,1,1,1,1
281,M001,G001,CH001,PCF001,C001,D001,Omolara,Sandra,Adeniyi,Female,8089675432,9089675432,omolara@gmail.com,Teacher,"23 Peak Lane, Ikeja",Lagos State,8/3/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
282,M002,G002,CH002,PCF002,C002,D002,Olaide,Oluwanisola,Agbaje,Male,8178923892,9178923892,olaide@gmail.com,Nurse,"4 Peace estate, Gbagada",Lagos State,8/3/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
283,M003,G003,CH003,PCF003,C003,D003,Funmilayo,Makuachukwu,Onu,Female,8058666777,9058666777,funmimak@gmail.com,Pilot,"45 ladilak, Bariga", Ogun State,8/3/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
284,M004,G004,CH004,PCF004,C004,D004,Makinwa,Hope,Okonkwo,Female,8033980034,9033980034,makinwaoko@gmail.com,Doctor,"18 Dunsin St., Lekki",Lagos State,8/4/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
285,M005,G005,CH005,PCF005,C005,D005,Onome,Olaoluwa,Bode,Female,8090223344,9090223344,onome26@yahoo.com,Driver,"29 Opebi, Ikeja",Lagos State,8/6/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
286,M006,G006,CH006,PCF006,C006,D006,Bukola,Gbadamosi,Obadun,Male,8032675409,9032675409,bukolagb@yahoo.com,Bricklayer,"14 Musa street, Ikeja",Lagos State,8/8/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
287,M007,G007,CH007,PCF007,C007,D007,Isioma,Joy,Oti,Female,8089290654,9089290654,isiomajo@yahoo.com,Teacher,"10 Benson Lane, Ikeja",Lagos State,8/9/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
288,M008,G008,CH008,PCF008,C008,D008,Ifunanya,Grace,Onah,Female,8023880823,9023880823,ifunanyagr@yahoo.com,Accountant,"23 Peak Lane, Yaba",Lagos State,8/10/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
289,M009,G009,CH009,PCF009,C009,D009,Victory,Chinemerem,Njoku,Male,8023554488,9023554488,victorych@yahoo.com,Civil Engineer,"4 Peace estate, Ibafo",Lagos State,8/11/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
290,M010,G010,CH010,PCF010,C010,D010,Oshoriame,Christabel,Olumese,Female,8165790000,9165790000,oshoriamech@yahoo.com,Receptionist,"40 ladilak, Shomolu",Lagos State,8/12/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
291,M011,G011,CH011,PCF011,C011,D011,Osasenega,Samuel,Usoh,Male,8088223456,9088223456,osasenegasa@yahoo.com,Tailor,"18 Dunsin St., Victoria Island",Lagos State,8/13/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
292,M012,G012,CH012,PCF012,C012,D012,Favour,Nneka,Mbah,Female,8145766530,9145766530,favournn@yahoo.com,Banker,"29 Opebi, Maryland",Lagos State,8/14/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
293,M013,G013,CH013,PCF013,C013,D013,Charles,Pamilerin,Udeh,Male,8013908762,9013908762,charlespa@yahoo.com,Estate Surveyor,"14 Musa street, Ajah",Lagos State,8/15/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
294,M014,G014,CH014,PCF014,C014,D014,Toke,Nicole,Makinwa,Female,8176669827,9176669827,tokeni@yahoo.com,Civil Engineer,"10 Benson Lane, Minna",Ogun State,8/16/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
295,M015,G015,CH015,PCF015,C015,D015,Grace,Onyinye,Otuka,Female,8039883939,9039883939,graceon@yahoo.com,Mechanic,"2 Peaceville street, Ikoyi",Lagos State,8/17/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
296,M016,G016,CH016,PCF016,C016,D016,Chiduziem,Chris,Ejimofor,Male,8167869696,9167869696,chiduziemch@yahoo.com,Electrician,"40 Pilsan street, Shomolu",Lagos State,8/18/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
297,M017,G017,CH017,PCF017,C017,D017,Uzoma,Michael,Obasi,Male,8123458876,9123458876,uzomami@yahoo.com,Housekeeper,"12 Dunsin St., Victoria Island",Lagos State,8/19/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
298,M018,G018,CH018,PCF018,C018,D018,King,Daniel,Obaseki,Male,8067542288,9067542288,kingda@yahoo.com,Gardener,"23 Opebi, Maryland",Lagos State,8/20/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
299,M019,G019,CH019,PCF019,C019,D019,Aminu,Abubakar,Tambuwal,Male,8123242425,9123242425,aminuab@yahoo.com,Scientist,"10Musa street, Ajah",Lagos State,8/21/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,1
300,M020,G020,CH020,PCF020,C020,D020,Jesse,David,Omoko,Male,8189655437,9189655437,jesseda@yahoo.com,Statitiscian,"8 Benson Lane, Minna",Lagos State,8/22/2021,2,7/26/2021,2,2,3,0,0,0,0,0,0,0,0,0,0,0
301,M001,G001,CH001,PCF001,C001,D001,Omolara,Sandra,Adeniyi,Female,8089675432,9089675432,omolara@gmail.com,Teacher,"23 Peak Lane, Ikeja",Lagos State,8/3/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
302,M002,G002,CH002,PCF002,C002,D002,Olaide,Oluwanisola,Agbaje,Male,8178923892,9178923892,olaide@gmail.com,Nurse,"4 Peace estate, Gbagada",Lagos State,8/3/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,1
303,M003,G003,CH003,PCF003,C003,D003,Funmilayo,Makuachukwu,Onu,Female,8058666777,9058666777,funmimak@gmail.com,Pilot,"45 ladilak, Bariga", Ogun State,8/3/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
304,M004,G004,CH004,PCF004,C004,D004,Makinwa,Hope,Okonkwo,Female,8033980034,9033980034,makinwaoko@gmail.com,Doctor,"18 Dunsin St., Lekki",Lagos State,8/4/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,1
305,M005,G005,CH005,PCF005,C005,D005,Onome,Olaoluwa,Bode,Female,8090223344,9090223344,onome26@yahoo.com,Driver,"29 Opebi, Ikeja",Lagos State,8/6/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,1
306,M006,G006,CH006,PCF006,C006,D006,Bukola,Gbadamosi,Obadun,Male,8032675409,9032675409,bukolagb@yahoo.com,Bricklayer,"14 Musa street, Ikeja",Lagos State,8/8/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
307,M007,G007,CH007,PCF007,C007,D007,Isioma,Joy,Oti,Female,8089290654,9089290654,isiomajo@yahoo.com,Teacher,"10 Benson Lane, Ikeja",Lagos State,8/9/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
308,M008,G008,CH008,PCF008,C008,D008,Ifunanya,Grace,Onah,Female,8023880823,9023880823,ifunanyagr@yahoo.com,Accountant,"23 Peak Lane, Yaba",Lagos State,8/10/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,1
309,M009,G009,CH009,PCF009,C009,D009,Victory,Chinemerem,Njoku,Male,8023554488,9023554488,victorych@yahoo.com,Civil Engineer,"4 Peace estate, Ibafo",Lagos State,8/11/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,1
310,M010,G010,CH010,PCF010,C010,D010,Oshoriame,Christabel,Olumese,Female,8165790000,9165790000,oshoriamech@yahoo.com,Receptionist,"40 ladilak, Shomolu",Lagos State,8/12/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
311,M011,G011,CH011,PCF011,C011,D011,Osasenega,Samuel,Usoh,Male,8088223456,9088223456,osasenegasa@yahoo.com,Tailor,"18 Dunsin St., Victoria Island",Lagos State,8/13/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,1
312,M012,G012,CH012,PCF012,C012,D012,Favour,Nneka,Mbah,Female,8145766530,9145766530,favournn@yahoo.com,Banker,"29 Opebi, Maryland",Lagos State,8/14/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
313,M013,G013,CH013,PCF013,C013,D013,Charles,Pamilerin,Udeh,Male,8013908762,9013908762,charlespa@yahoo.com,Estate Surveyor,"14 Musa street, Ajah",Lagos State,8/15/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,1
314,M014,G014,CH014,PCF014,C014,D014,Toke,Nicole,Makinwa,Female,8176669827,9176669827,tokeni@yahoo.com,Civil Engineer,"10 Benson Lane, Minna",Ogun State,8/16/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
315,M015,G015,CH015,PCF015,C015,D015,Grace,Onyinye,Otuka,Female,8039883939,9039883939,graceon@yahoo.com,Mechanic,"2 Peaceville street, Ikoyi",Lagos State,8/17/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
316,M016,G016,CH016,PCF016,C016,D016,Chiduziem,Chris,Ejimofor,Male,8167869696,9167869696,chiduziemch@yahoo.com,Electrician,"40 Pilsan street, Shomolu",Lagos State,8/18/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,1
317,M017,G017,CH017,PCF017,C017,D017,Uzoma,Michael,Obasi,Male,8123458876,9123458876,uzomami@yahoo.com,Housekeeper,"12 Dunsin St., Victoria Island",Lagos State,8/19/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
318,M018,G018,CH018,PCF018,C018,D018,King,Daniel,Obaseki,Male,8067542288,9067542288,kingda@yahoo.com,Gardener,"23 Opebi, Maryland",Lagos State,8/20/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
319,M019,G019,CH019,PCF019,C019,D019,Aminu,Abubakar,Tambuwal,Male,8123242425,9123242425,aminuab@yahoo.com,Scientist,"10Musa street, Ajah",Lagos State,8/21/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
320,M020,G020,CH020,PCF020,C020,D020,Jesse,David,Omoko,Male,8189655437,9189655437,jesseda@yahoo.com,Statitiscian,"8 Benson Lane, Minna",Lagos State,8/22/2021,1,7/28/2021,4,3,3,0,1,1,1,1,1,1,1,1,1,0
321,M001,G001,CH001,PCF001,C001,D001,Omolara,Sandra,Adeniyi,Female,8089675432,9089675432,omolara@gmail.com,Teacher,"23 Peak Lane, Ikeja",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
322,M002,G002,CH002,PCF002,C002,D002,Olaide,Oluwanisola,Agbaje,Male,8178923892,9178923892,olaide@gmail.com,Nurse,"4 Peace estate, Gbagada",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
323,M003,G003,CH003,PCF003,C003,D003,Funmilayo,Makuachukwu,Onu,Female,8058666777,9058666777,funmimak@gmail.com,Pilot,"45 ladilak, Bariga", Ogun State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
324,M004,G004,CH004,PCF004,C004,D004,Makinwa,Hope,Okonkwo,Female,8033980034,9033980034,makinwaoko@gmail.com,Doctor,"18 Dunsin St., Lekki",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
325,M005,G005,CH005,PCF005,C005,D005,Onome,Olaoluwa,Bode,Female,8090223344,9090223344,onome26@yahoo.com,Driver,"29 Opebi, Ikeja",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
326,M006,G006,CH006,PCF006,C006,D006,Bukola,Gbadamosi,Obadun,Male,8032675409,9032675409,bukolagb@yahoo.com,Bricklayer,"14 Musa street, Ikeja",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
327,M007,G007,CH007,PCF007,C007,D007,Isioma,Joy,Oti,Female,8089290654,9089290654,isiomajo@yahoo.com,Teacher,"10 Benson Lane, Ikeja",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
328,M008,G008,CH008,PCF008,C008,D008,Ifunanya,Grace,Onah,Female,8023880823,9023880823,ifunanyagr@yahoo.com,Accountant,"23 Peak Lane, Yaba",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
329,M009,G009,CH009,PCF009,C009,D009,Victory,Chinemerem,Njoku,Male,8023554488,9023554488,victorych@yahoo.com,Civil Engineer,"4 Peace estate, Ibafo",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
330,M010,G010,CH010,PCF010,C010,D010,Oshoriame,Christabel,Olumese,Female,8165790000,9165790000,oshoriamech@yahoo.com,Receptionist,"40 ladilak, Shomolu",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
331,M011,G011,CH011,PCF011,C011,D011,Osasenega,Samuel,Usoh,Male,8088223456,9088223456,osasenegasa@yahoo.com,Tailor,"18 Dunsin St., Victoria Island",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
332,M012,G012,CH012,PCF012,C012,D012,Favour,Nneka,Mbah,Female,8145766530,9145766530,favournn@yahoo.com,Banker,"29 Opebi, Maryland",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
333,M013,G013,CH013,PCF013,C013,D013,Charles,Pamilerin,Udeh,Male,8013908762,9013908762,charlespa@yahoo.com,Estate Surveyor,"14 Musa street, Ajah",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,1
334,M014,G014,CH014,PCF014,C014,D014,Toke,Nicole,Makinwa,Female,8176669827,9176669827,tokeni@yahoo.com,Civil Engineer,"10 Benson Lane, Minna",Ogun State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
335,M015,G015,CH015,PCF015,C015,D015,Grace,Onyinye,Otuka,Female,8039883939,9039883939,graceon@yahoo.com,Mechanic,"2 Peaceville street, Ikoyi",Lagos State,7/31/2021,2,7/31/2021,7,4,1,0,0,0,0,0,0,0,0,0,0,0
